species,inchi,smiles,mult,ANL1,ANL0,Ladder,Best
! These are all in kcal/mol.
C(O)(CH3)3,"InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3","CC(C)(C)[O]",2,0,-13.54,-13.99429702,-13.99429702
CH4,"InChI=1S/CH4/h1H4","C",1,-15.90583174,-15.90583174,-15.90583174,-15.90583174
H2O,"InChI=1S/H2O/h1H2","O",1,-57.10564054,-57.10564054,-57.10564054,-57.10564054
NH3,"InChI=1S/H3N/h1H3","N",1,-9.216539197,-9.216539197,-9.216539197,-9.216539197
OH,"InChI=1S/HO/h1H","[OH]",2,8.867367329,9.023965673,8.867367329,8.867367329
NH2,"InChI=1S/H2N/h1H2","[NH2]",2,45.14960896,45.19487687,45.14960896,45.14960896
H2,"InChI=1S/H2/h1H","[H][H]",1,0,0,0,0
CH3,"InChI=1S/CH3/h1H3","[CH3]",2,35.79702528,35.83589886,35.79702528,35.79702528
CCH,"InChI=1S/C2H/c1-2/h1H",,,134.5889121,134.5033146,134.5889121,134.5889121
CHCH,"InChI=1S/C2H2/c1-2/h1-2H","C#C",1,54.62147455,54.57391752,54.62147455,54.62147455
CH2C,"InChI=1S/C2H2/c1-2/h1H2","[C]=C",1,98.17297069,98.34670602,98.25934673,98.17297069
CH2CH,"InChI=1S/C2H3/c1-2/h1H,2H2","[CH]=C",2,71.82519164,71.91255092,71.82519164,71.82519164
CH2CH2,"InChI=1S/C2H4/c1-2/h1-2H2","C=C",1,14.36936664,14.38766105,14.36936664,14.36936664
CH3CH2,"InChI=1S/C2H5/c1-2/h1H2,2H3","C[CH2]",2,31.30343354,31.38720123,31.30343354,31.30343354
CH3CH3,"InChI=1S/C2H6/c1-2/h1-2H3","CC",1,-16.48639989,-16.45841075,-16.48639989,-16.48639989
c-CHCCH,"InChI=1S/C3H2/c1-2-3-1/h1-2H","C1=CC=1",1,118.5907404,118.6878814,118.6233034,118.5907404
CH2CC,"InChI=1S/C3H2/c1-3-2/h1H2","[C-]#C[CH2+]",1,132.147045,132.3140082,132.315838,132.147045
CH2CCH,"InChI=1S/C3H3/c1-3-2/h1H,2H2","C#C[CH2]",2,84.63189929,84.60240767,84.49675398,84.63189929
c-CHCHCH,"InChI=1S/C3H3/c1-2-3-1/h1-3H","[CH]1C=C1",2,117.2623724,117.3256989,117.1787427,117.2623724
c-CH2CHC,"InChI=1S/C3H3/c1-2-3-1/h1H,2H2","[C]1=CC1",2,125.9312944,125.9321817,125.7719392,125.9312944
CH3CC,"InChI=1S/C3H3/c1-3-2/h1H3","[C]#CC",2,126.248626,126.2357052,126.2933136,126.248626
CH3CCH,"InChI=1S/C3H4/c1-3-2/h1H,2H3","C#CC",1,45.97493968,45.96876909,45.98833697,45.97493968
